unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12323056,JE178325,2021-03-24 11:29:00.000000 UTC,062XX S DR MARTIN LUTHER KING JR DR,2013,NARCOTICS,MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR),STREET,true,false,313,3,20,42,18,1179991.0,1863739.0,2021,2021-03-31 04:59:47.000000 UTC,41.78137075,-87.615655058,"(41.78137075, -87.615655058)"
12324953,JE180534,2021-03-26 03:15:00.000000 UTC,063XX S WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,true,false,825,8,16,66,11,1161460.0,1862589.0,2021,2021-08-21 04:53:33.000000 UTC,41.778619322,-87.683625816,"(41.778619322, -87.683625816)"
12265655,JE108398,2021-01-02 11:40:00.000000 UTC,063XX S ARTESIAN AVE,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,true,false,825,8,16,66,26,1161126.0,1862647.0,2021,2021-02-10 03:46:37.000000 UTC,41.778785401,-87.684848686,"(41.778785401, -87.684848686)"
12342003,JE201553,2021-04-16 08:35:00.000000 UTC,070XX S WESTERN AVE,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,true,false,832,8,17,66,26,1161589.0,1858014.0,2021,2021-04-23 04:51:47.000000 UTC,41.766062204,-87.683279663,"(41.766062204, -87.683279663)"
12581516,JE494122,2021-12-31 03:43:00.000000 UTC,067XX S EBERHART AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,true,true,321,3,20,42,26,1180739.0,1860458.0,2021,2022-01-07 03:47:10.000000 UTC,41.7723502,-87.613013504,"(41.7723502, -87.613013504)"
12580942,JE493367,2021-12-30 08:00:00.000000 UTC,049XX W LAWRENCE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,true,false,1623,16,45,15,05,1142623.0,1931463.0,2021,2022-01-06 03:51:47.000000 UTC,41.967988143,-87.750971405,"(41.967988143, -87.750971405)"
12527556,JE428873,2021-10-31 10:16:00.000000 UTC,001XX N KOSTNER AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,true,false,1113,11,28,26,15,1147040.0,1900296.0,2021,2021-11-07 03:51:29.000000 UTC,41.88237942,-87.735529202,"(41.88237942, -87.735529202)"
12470756,JE358519,2021-09-01 09:04:00.000000 UTC,044XX W MONROE ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,11,28,26,16,1146740.0,1899292.0,2021,2021-09-08 04:48:45.000000 UTC,41.879630056,-87.736656448,"(41.879630056, -87.736656448)"
12402761,JE276224,2021-06-22 10:51:00.000000 UTC,041XX W WASHINGTON BLVD,5131,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,STREET,true,false,1115,11,28,26,26,1148820.0,1900172.0,2021,2021-07-12 04:57:24.000000 UTC,41.882004939,-87.728996168,"(41.882004939, -87.728996168)"
12362281,JE226273,2021-05-11 12:20:00.000000 UTC,068XX W ADDISON ST,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,SIDEWALK,true,false,1632,16,38,17,26,1129949.0,1923164.0,2021,2021-05-18 05:27:50.000000 UTC,41.94544172,-87.797764312,"(41.94544172, -87.797764312)"
12488796,JE381271,2021-09-20 06:55:00.000000 UTC,034XX W CHICAGO AVE,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,true,false,1121,11,27,23,08B,1153460.0,1905124.0,2021,2021-09-27 04:51:51.000000 UTC,41.895502797,-87.71182632,"(41.895502797, -87.71182632)"
12446361,JE329439,2021-08-07 12:56:00.000000 UTC,033XX W OHIO ST,0550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,RESIDENCE - PORCH / HALLWAY,true,false,1121,11,27,23,04A,1153820.0,1903796.0,2021,2021-08-26 04:44:46.000000 UTC,41.891851472,-87.710539522,"(41.891851472, -87.710539522)"
12555841,JE463234,2021-12-02 08:15:00.000000 UTC,039XX W MADISON ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,STREET,true,false,1122,11,28,26,18,1150122.0,1899722.0,2021,2021-12-09 03:51:25.000000 UTC,41.880744831,-87.724226926,"(41.880744831, -87.724226926)"
12565799,JE475218,2021-12-10 02:00:00.000000 UTC,029XX W JACKSON BLVD,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,true,true,1124,11,27,27,02,1156668.0,1898548.0,2021,2022-06-13 04:49:14.000000 UTC,41.877393256,-87.70022224,"(41.877393256, -87.70022224)"
12428876,JE306020,2021-07-18 07:10:00.000000 UTC,044XX W FIFTH AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,true,false,1131,11,24,26,16,1146982.0,1895819.0,2021,2021-07-25 05:03:38.000000 UTC,41.870095111,-87.73585662,"(41.870095111, -87.73585662)"
12450306,JE334210,2021-08-11 04:03:00.000000 UTC,039XX W GLADYS AVE,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,STREET,true,false,1132,11,28,26,04B,1150098.0,1898063.0,2021,2022-01-21 03:46:24.000000 UTC,41.876192818,-87.724358276,"(41.876192818, -87.724358276)"
12328337,JE184817,2021-03-30 09:43:00.000000 UTC,005XX W 76TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,true,false,621,6,17,69,24,1174205.0,1854519.0,2021,2021-04-06 05:03:58.000000 UTC,41.756200558,-87.637141324,"(41.756200558, -87.637141324)"
12570753,JE481195,2021-12-17 10:30:00.000000 UTC,001XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,true,false,111,1,42,32,03,1176330.0,1901649.0,2021,2021-12-24 03:48:25.000000 UTC,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
12384766,JE253853,2021-06-04 05:15:00.000000 UTC,0000X E WASHINGTON ST,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,true,false,111,1,42,32,08A,1176972.0,1900831.0,2021,2021-06-11 04:47:17.000000 UTC,41.88322275,-87.625602945,"(41.88322275, -87.625602945)"
12331039,JE187949,2021-04-03 07:05:00.000000 UTC,004XX S WESTERN AVE,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,true,false,1135,11,28,28,03,1160478.0,1897788.0,2021,2021-04-23 04:49:41.000000 UTC,41.875229772,-87.686253982,"(41.875229772, -87.686253982)"
12511073,JE408126,2021-10-13 10:21:00.000000 UTC,0000X N DEARBORN ST,0479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",CTA TRAIN,true,false,112,1,34,32,04B,1175937.0,1900516.0,2021,2023-05-06 04:46:03.000000 UTC,41.882381731,-87.629412971,"(41.882381731, -87.629412971)"
12264013,JE106390,2021-01-07 08:33:00.000000 UTC,002XX S STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,true,false,113,1,42,32,03,1176417.0,1899156.0,2021,2021-05-10 04:51:21.000000 UTC,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
12531719,JE434056,2021-11-04 05:05:00.000000 UTC,002XX S STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA STATION,true,false,113,1,42,32,11,1176417.0,1899156.0,2021,2021-11-11 03:51:52.000000 UTC,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
12545304,JE450422,2021-11-19 11:30:00.000000 UTC,0000X W ADAMS ST,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,SIDEWALK,true,false,113,1,42,32,26,1176239.0,1899451.0,2021,2021-11-26 03:47:53.000000 UTC,41.879452507,-87.628336161,"(41.879452507, -87.628336161)"
12538434,JE442154,2021-11-11 05:05:00.000000 UTC,0000X S LAKE SHORE DR SB,1479,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,STREET,true,false,114,1,42,32,15,1179190.0,1900239.0,2021,2021-11-18 03:49:04.000000 UTC,41.88154779,-87.617476556,"(41.88154779, -87.617476556)"
